position,country,name,club,boots,age,height
Goalkeeper,Australia,A. Faulkner,,,29,172
Defender,-,A. J. DeLaGarza,,Nike Phantom GX 2 Elite,37,175
Forward,Mali,A. Keita,,Nike Mercurial Superfly 9 Elite,30,178
Midfielder,Côte d'Ivoire,A. Razak,,Nike Tiempo Legend 10 Elite,31,180
Defender,United States,A.J. Soares,,Nike Tiempo Legend 10 Elite,36,183
Midfielder,Spain,Aarón,,Nike Mercurial Superfly 9 Elite,35,170
Goalkeeper,Gabon,Aaron Boupendza,,,28,180
Midfielder,Italy,Aaron Ciammaglichella,Torino FC,,19,180
Forward,Ireland,Aaron Connolly,Sunderland,adidas X Crazyfast Elite,24,174
Defender,England,Aaron Cresswell,West Ham United,adidas F50 Elite LL,35,170
Goalkeeper,Spain,Aarón Escandell,,Nike Mercurial Vapor 15 Elite,29,184
Defender,Scotland,Aaron Hickey,Brentford FC,adidas X Speedportal.1,22,185
Defender,Northern Ireland,Aaron Hughes,,,45,183
Midfielder,Germany,Aaron Hunt,,Mizuno Rebula 3,38,183
Defender,France,Aaron Kamardin,,Nike Mercurial Superfly VII Elite,22,183
Forward,England,Aaron Lennon,,Nike Mercurial Vapor 14 Elite,37,165
Forward,Belgium,Aaron Leya Iseka,,adidas X Crazyfast Elite,27,182
Defender,United States,Aaron Long,,adidas X Crazyfast Elite,32,186
Defender,Spain,Aarón Martín,Genoa CFC,Puma Future 7 Ultimate,27,178
Midfielder,Australia,Aaron Mooy,,Nike Tiempo Legend 10 Elite,34,174
Forward,Nigeria,Aaron Olanare,,Nike Mercurial Superfly 9 Elite,30,189
Forward,Germany,Aaron Opoku,,adidas X 18+,25,185
Goalkeeper,England,Aaron Ramsdale,Southampton,adidas Predator Elite FT,26,190
Midfielder,Wales,Aaron Ramsey,Cardiff City,adidas Predator Elite LL,34,178
Midfielder,England,Aaron Ramsey,Burnley,adidas X Crazyfast Elite,21,181
Forward,Germany,Aaron Seydel,,Puma Future Ultimate,28,199
Midfielder,England,Aaron Tshibola,,adidas Predator 19+,30,190
Defender,England,Aaron Wan-Bissaka,West Ham United,adidas F50 Elite LL,27,183
Forward,England,Aaron Wilbraham,,Nike Tiempo Legend 10 Elite,45,191
Midfielder,Germany,Aaron Zehnter,SC Paderborn 07,,20,180
Midfielder,Morocco,Aatif Chahechouhe,,Nike Mercurial Vapor 15 Elite,38,176
Defender,-,Abakar Sylla,RC Strasbourg Alsace,adidas X Crazyfast Elite,22,188
Defender,Azerbaijan,Abbas Hüseynov,Qarabağ FK,,29,179
Defender,-,Abdallah Ali Mohamed,,,25,178
Midfielder,Ghana,Abdallah Basit,,adidas X 18.1,25,180
Defender,Senegal,Abdallah Ndour,EA Guingamp,,31,186
Midfielder,Egypt,Abdallah Said,,adidas X Crazyfast Elite LL,39,176
Forward,Senegal,Abdallah Sima,Stade Brestois 29,adidas F50 Elite LL,23,188
Midfielder,Mauritania,Abdallahi Mahmoud,,adidas Predator Elite LL,24,189
Forward,Morocco,Abde Ezzalzouli,Real Betis Balompié,adidas X Crazyfast+,23,177
Forward,Algeria,Abde Rebbach,Deportivo Alavés,Puma Future 7 Ultimate,26,176
Defender,Morocco,Abdel Abqar,Deportivo Alavés,Nike Tiempo Legend 10 Elite,25,188
Forward,Panama,Abdel Aguilar,,,27,175
Defender,France,Abdel Malik Hsissane,,,28,179
Defender,Algeria,Abdel Medioub,,Nike Phantom GX 2 Elite,27,197
Midfielder,Morocco,Abdelaziz Barrada,,Nike Mercurial Vapor 15 Elite,35,179
Midfielder,Netherlands,Abdelhak Nouri,,Nike Mercurial Vapor 15 Elite,27,170
Defender,Morocco,Abdelhamid Ait Boudlal,Stade Rennais FC,,18,190
Defender,Morocco,Abdelhamid El Kaoutari,,Nike Mercurial Superfly 9 Elite,34,180
Midfielder,Morocco,Abdelhamid Sabiri,,Nike Mercurial Vapor 15 Elite By You,28,186
Midfielder,Morocco,Abdelilah Hafidi,,,32,169
Forward,Algeria,Abdelkader Ghezzal,,adidas F50 Adizero,40,183
Defender,Qatar,Abdelkarim Hassan,,Nike Mercurial Superfly 9 Elite,31,186
Forward,France,Abdellah Zoubir,Qarabağ FK,Nike Mercurial Vapor 15 Elite,33,180
Midfielder,Algeria,Abdelmoumene Djabou,,Nike Phantom GX 2 Elite,37,164
Midfielder,France,Abdelrafik Gérard,,,31,176
Forward,Qatar,Abdelrahman Moustafa,,,27,168
Forward,Germany,Abdenego Nankishi,SV Werder Bremen,,22,178
Forward,Morocco,Abderrazak Hamdallah,,Nike Mercurial Superfly VI Elite,34,182
Forward,Panama,Abdiel Arroyo,,Nike Mercurial Superfly 9 Elite,31,187
Forward,Spain,Abdón Prats,RCD Mallorca,adidas X Crazyfast Elite,32,181
Midfielder,France,Abdou Aziz Thiam,,,27,180
Defender,Senegal,Abdou Diallo,,Puma Ultra Ultimate,28,187
Midfielder,Morocco,Abdou Harroui,Hellas Verona,adidas X Crazyfast+,26,182
Midfielder,Mali,Abdou Traoré,,Nike Mercurial Superfly 9 Elite,36,180
Defender,Mauritania,Abdoul Ba,,,30,200
Forward,Guinea,Abdoul Camara,,Nike Mercurial Vapor 15 Elite,34,177
Forward,France,Abdoul Kader Bamba,,adidas X Crazyfast+,30,177
Defender,Mali,Abdoul Karim Danté,,,26,182
Defender,France,Abdoul Koné,Stade de Reims,,19,192
Midfielder,Niger,Abdoul Moumouni,,,22,177
Midfielder,Mali,Abdoul Sissoko,,Nike CTR360 Maestri,34,180
Forward,Burkina Faso,Abdoul Tapsoba,,,23,180
Forward,Mali,Abdoulay Diaby,,Nike Mercurial Superfly VI Elite,33,173
Defender,France,Abdoulay Konko,,Nike Mercurial Superfly 9 Elite,40,184
Defender,Senegal,Abdoulaye,,Nike Phantom GX 2 Elite,34,197
Defender,Senegal,Abdoulaye,,,34,195
Defender,-,Abdoulaye Bakayoko,,,22,185
Defender,-,Abdoulaye Bamba,Angers SCO,adidas X Crazyfast Elite,34,182
Midfielder,France,Abdoulaye Dabo,,Nike Phantom GX 2 Elite,23,181
Goalkeeper,Senegal,Abdoulaye Diallo,,Nike Hypervenom,32,191
Defender,Senegal,Abdoulaye Diédhiou,,,24,180
Midfielder,Mali,Abdoulaye Doucouré,Everton,adidas Predator Elite,32,183
Midfielder,France,Abdoulaye Kamara,,adidas Predator Elite,20,185
Midfielder,-,Abdoulaye Kanté,ESTAC Troyes,,19,180
Midfielder,Mali,Abdoulaye Keita,,Nike Mercurial Superfly 9 Elite,31,175
Defender,Senegal,Abdoulaye Ndiaye,Stade Brestois 29,Nike Phantom GX 2 Elite,22,195
Forward,Senegal,Abdoulaye Sané,,adidas X Crazyfast Elite,32,177
Forward,France,Abdoulaye Sidibé,,adidas X Crazyfast Elite LL,22,180
Defender,Guinea,Abdoulaye Sylla,,adidas X Speedflow.1,24,191
Midfielder,Guinea,Abdoulaye Touré,Le Havre AC,Puma Future 7 Ultimate,30,188
Forward,Togo,Abdoulrazak Boukari,,Nike Mercurial Superfly 9 Elite,37,182
Defender,Guinea,Abdourahmane Barry,Amiens SC,adidas X Crazyfast Elite LL,24,185
Defender,Portugal,Abdu Conté,BSC Young Boys,Puma Ultra Ultimate,26,183
Defender,Uzbekistan,Abdukodir Khusanov,RC Lens,Puma Future 7 Ultimate,20,186
Defender,Ghana,Abdul Mumin,Rayo Vallecano,Nike Phantom GT Elite,26,188
Goalkeeper,Ghana,Abdul Nurudeen,,Nike Mercurial Superfly 9 Elite,25,189
Defender,Ghana,Abdul Rahman Baba,PAOK Thessaloniki,Puma Ultra Ultimate,30,179
Midfielder,Italy,Abdul Yabré,,Nike Mercurial Superfly 9 Elite,29,180
Midfielder,Saudi Arabia,Abdulaziz Ali Al-Bishi,,,30,172
Midfielder,Qatar,Abdulaziz Hatem,,adidas X Speedflow.1,34,183
Defender,Turkey,Abdulcebrail Akbulut,,,23,178
Defender,Saudi Arabia,Abdulelah Al-Amri,,adidas X Crazyfast Elite,27,183
Midfielder,Saudi Arabia,Abdulelah Al-Malki,,adidas X Speedportal.1,30,170
Midfielder,Saudi Arabia,Abdulfattah Tawfiq Asiri,,,30,167
Midfielder,Turkey,Abdülkadir Ömür,Hull City,Nike Mercurial Vapor 15 Elite,25,168
Defender,Turkey,Abdülkerim Bardakcı,Galatasaray,Nike Mercurial Vapor XI Elite,30,185
Forward,Saudi Arabia,Abdullah Al-Hamdan,,,25,184
Midfielder,Saudi Arabia,Abdullah Al-Khaibari,,Nike Tiempo Legend 10 Elite,28,178
Goalkeeper,Saudi Arabia,Abdullah Al-Mayouf,,Nike Tiempo Legend 10 Elite,37,187
Midfielder,Turkey,Abdullah Aydın,,,24,175
Goalkeeper,Switzerland,Abdullah Laidani,,,21,194
Defender,Saudi Arabia,Abdullah Madu,,Nike Tiempo Legend VII Elite,31,186
Midfielder,Saudi Arabia,Abdullah Otayf,,adidas Predator Freak.1,32,177
Forward,Saudi Arabia,Abdullah Radif,,,21,187
Defender,Nigeria,Abdullahi Nura,,Nike Phantom GX 2 Elite,27,182
Midfielder,Nigeria,Abdullahi Shehu,,Nike Phantom GX 2 Elite,31,181
Midfielder,Spain,Abdulmajeed Al-Sulaiheem,,,27,181
Midfielder,Saudi Arabia,Abdulmalek Al-Khaibri,,adidas Copa 18.1,38,175
Forward,Saudi Arabia,Abdulrahman Al-Oboud,,Nike Mercurial Superfly 9 Elite,29,174
Forward,Saudi Arabia,Abdulrahman Gharib,,,27,174
Midfielder,Turkey,Abdussamed Karnucu,,,24,184
Midfielder,Spain,Abel,,adidas Predator Elite,42,182
Midfielder,Colombia,Abel Aguilar,,Nike Tiempo Legend 10 Elite,40,186
Defender,Spain,Abel Bretones,CA Osasuna,adidas F50 Elite,24,188
Forward,Uruguay,Abel Hernández,,Nike Mercurial Vapor 15 Elite,34,185
Defender,Spain,Abel Moreno,,,29,178
Forward,Spain,Abel Ruiz,Girona FC,adidas F50 Elite,24,182
Forward,-,Ablie Jallow,FC Metz,Nike Mercurial Vapor 15 Elite,26,166
Defender,Brazil,Abner,,Nike Mercurial Vapor 15 Elite,28,171
Defender,Brazil,Abner,Olympique Lyonnais,adidas F50 Elite LL,24,181
Defender,Iran,Abolfazl Jalali,,Nike Mercurial Vapor 14 Elite,26,177
Defender,Iran,Abolfazl Razzaghpour,,,27,178
Midfielder,France,Abou Ba,,,26,182
Midfielder,France,Abou Diaby,,Nike Tiempo Legend 10 Elite,38,188
Forward,Burkina Faso,Abou Ouattara,FC Sheriff Tiraspol,,25,177
Forward,France,Aboubacar Ali Abdallah,Nîmes Olympique,,18,183
Forward,Guinea,Aboubacar Camara,,Nike Mercurial Superfly 9 Elite,30,186
